Region: Andorra                 Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Austria                 Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Bulgaria                Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Czech Republic          Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Denmark                 Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Finland                 Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: France                  Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Germany                 Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Hungary                 Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Isle of Man             Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Italy                   Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Liechtenstein           Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Malta                   Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Monaco                  Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Montenegro              Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Netherlands             Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Norway                  Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Poland                  Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Spain                   Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Sweden                  Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Switzerland             Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: UK Manchester           Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: UK London               Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Bahamas                 Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Greenland               Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Mexico                  Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Panama                  Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Venezuela               Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Armenia                 Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Bangladesh              Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Cambodia                Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: China                   Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Cyprus                  Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Georgia                 Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Iran                    Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Japan                   Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Kazakhstan              Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Macao                   Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Mongolia                Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Philippines             Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Qatar                   Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Saudi Arabia            Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Singapore               Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Sri Lanka               Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Taiwan                  Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Turkey                  Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: United Arab Emirates    Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Vietnam                 Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Australia               Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Algeria                 Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Egypt                   Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Morocco                 Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
Region: Nigeria                 Port_Forward: True    Avilable_Protocols: ['ovpnudp', 'ovpntcp', 'ikev2', 'wg']
